Food,Serving Size,Gallons,Litres,Category,Information
Yogurt,4,36,136,processed foods/dairy,"Dairy cows tend to have long lives in systems where they eat large quantities of grass and feed grain made from corn and soybeans. Feed grains are predominantly rainfed (green water), although in the US, corn and soybeans are increasingly being irrigated (blue water) in some states. Yogurt production can cause pollution (grey water) because of processing, packaging and transportation, and when fertilizer and/or pesticides are used to grow grains for feed. Dairies can also cause a significant amount of water pollution from manure leaching into waterways."
Avocados,4,35,132,produce,"Avocado trees are primarily rainfed (green water), require a significant amount of supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Wine,5,35,132,processed foods,"The water footprint is mainly associated with growing the grapes and varies depending on where and how the grapes were grown. Grape vines are primarily rainfed (green water), can receive significant supplemental irrigation (blue water) and can cause pollution from the use of fertilizer and/or pesticides (grey water). The grey water footprint is primarily associated with processing, packaging and transporting wine."
Crisps,4,31,132,processed foods,"Potatoes are a root crop that is primarily rainfed (green water) and can receive supplemental irrigation (blue water). There is pollution (grey water) associated with fertilizer and/or pesticide use in producing potatoes and other ingredients as well as with processing, packaging and transporting potato chips."
Potato chips,4,31,117,processed foods,"Potatoes are a root crop that is primarily rainfed (green water) and can receive supplemental irrigation (blue water). There is pollution (grey water) associated with fertilizer and/or pesticide use in producing potatoes and other ingredients as well as with processing, packaging and transporting potato chips."
Pears,4,28,106,produce,Pear trees are primarily rainfed (green water) and receive some supplemental irrigation (blue water) as well as significant fertilizer and pesticides (grey water).
Peaches and Nectarines,4,27,102,produce,"Peach and nectarine trees are mainly rainfed (green water), receive supplemental irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Soft drink,8,26,98,processed foods,"Sugar-sweetened sodas are produced worldwide and in most US states either by major manufacturers or craft producers. Production includes combining sugar and flavorings to create the soft drink. The water footprint is mainly associated with the sugar used (primarily sugar beets, but also sugar cane and corn sugar) and varies depending on where and how the sugar was grown. Sugar beet plants are primarily rainfed (green water), can receive significant supplemental irrigation (blue water) and can cause pollution from the use of fertilizer and pesticides (grey water). The grey water footprint is primarily associated with processing, packaging and transporting the ingredients."
Apples,4,25,95,produce,"Apple trees are primarily rainfed (green water) and can receive supplemental irrigation (blue water). Most apple trees are treated heavily with pesticides, and can cause water pollution (grey water) from fertilizer and/or pesticide use."
Blueberries,4,25,95,produce,"Blueberry bushes tend to receive equal amounts of water from rain (green water) and irrigation (blue water), and can cause water pollution from the application of fertilizer and/or pesticides (grey water"
Artichokes,4,25,95,produce,"Artichoke plants are primarily rainfed (green water), require a significant amount of supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Bananas,4,24,91,produce,Banana trees are primarily rainfed (green water) and can receive supplemental irrigation (blue water).
Tangerines,4,22,83,produce,"Trees are primarily rainfed (green water), can require some supplemental irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Clementines,4,22,83,produce,"Trees are primarily rainfed (green water), can require some supplemental irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Mandarins,4,22,83,produce,"Trees are primarily rainfed (green water), can require some supplemental irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Broad beans,4,20,76,produce,"Fava bean plants are primarily rainfed (green water), under dry conditions require a significant amount of supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Lemons,4,19,72,produce,"Lemon trees are mainly rainfed (green water), can receive some supplemental irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Limes,4,19,72,produce,"Lime trees are mainly rainfed (green water), can receive some supplemental irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Beer,8,19,72,processed foods,"Specific types of barley plants are used for malt production and most malt is used for brewing beer. Most of the water footprint of beer is associated with growing barley. The water footprint of beer varies depending on where and how barley was grown. Barley is primarily rainfed (green water), can be supplemented with irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water). There is also pollution associated with processing, packaging and transporting beer."
Soy milk,8,19,72,processed foods,"The water footprint is mainly associated with growing soybeans. Soybean plants are primarily rainfed (green water), are increasingly being irrigated in the US (blue water) and can cause pollution from the use of fertilizer and/or pesticides (grey water). The grey water footprint is primarily associated with processing, packaging and transporting soy milk."
Grapes,4,18,68,produce,"Grape vines rely mainly on rainfall (green water), can receive supplemental irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Garlic,4,18,68,produce,"Garlic root bulbs are rainfed (green water), can require a significant amount of supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Fresh Peas,4,18,68,produce,"Green peas are rainfed (green water), receive a significant amount of supplemental irrigation water (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Taro,4,18,68,produce,"Taro root is one of the oldest cultivated crops, and when dryland farmed, it is rainfed (green water). Hawaiian taro cultivation uses flooded field and wetland techniques, which increase the blue water requirements. Taro production can cause water pollution from the use of pesticides (grey water)."
Oranges,4,17,64,produce,"Orange trees rely heavily on rain (green water), can require some supplemental irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Okra,4,17,64,produce,"Okra plants are heat and drought-tolerant so they are primarily rainfed (green water) but they are not profitably productive without supplemental irrigation (blue water), and they can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Green Beans,4,16,61,produce,"String beans plants are rainfed (green water), receive a significant amount of supplemental irrigation (blue water) because they are shallow-rooted and they can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
String beans,4,16,61,produce,"String beans plants are rainfed (green water), receive a significant amount of supplemental irrigation (blue water) because they are shallow-rooted and they can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Grapefruit,4,15,57,produce,"Grapefruit trees are primarily rainfed (green water), can receive supplemental irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Kiwifruit,4,15,57,produce,"Kiwi fruit vines need a warm climate and are primarily rainfed (green water), receive substantial irrigation in drier summer months (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)"
Papaya,4,15,57,produce,Papaya trees are primarily rainfed (green water) and can receive some supplemental irrigation (blue water).
Blackberries,4,12,45,produce,"Blackberry bushes are grown in temperate areas and are largely rainfed (green water), can receive supplemental irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Raspberries,4,12,45,produce,"Raspberry bushes, which are related to blackberries and other brambles, grow in temperate areas and are largely rainfed (green water), can receive supplemental irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Sweet potatoes,4,12,45,produce,"Sweet potatoes are an indigenous root crop in the US and are primarily rainfed (green water), but in places where rainwater is inconsistent, they can receive a significant amount of supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Cucumbers,4,11,42,produce,"Cucumber vines are grown in both fields and greenhouses. While cucumber vines grown in fields are rainfed (green water), all cucumber vines require supplemental irrigation (blue water) and they can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Eggplants,4,11,42,produce,"Eggplant plants are rainfed (green water) but are not drought-tolerant, so, they require supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Chili Peppers,4,11,42,produce,"Pepper bushes are a hot season crop and are primarily rainfed (green water), but are more productive with supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water). In the US, peppers are mostly drip irrigated, which increases the blue water footprint."
Sweet Peppers,4,11,42,produce,"Pepper bushes are a hot season crop and are primarily rainfed (green water), but are more productive with supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water). In the US, peppers are mostly drip irrigated, which increases the blue water footprint."
Strawberries,4,10,38,produce,"Strawberry plants are rainfed (green water), they receive a significant amount of irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Pumpkins,4,10,38,produce,"Pumpkin vines are primarily rainfed (green water), can receive supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Squash,4,10,38,produce,"Squash vines are rainfed (green water), can receive supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Broccoli,4,9,34,produce,"Broccoli plants are primarily rainfed (green water), can require supplemental irrigation (blue water) because they are shallow-rooted and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Brussels sprouts,4,9,34,produce,"Brussels sprouts plants are rainfed (green water), can require irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Cauliflower,4,9,34,produce,"Cauliflower plants are rainfed (green water), require supplemental irrigation (blue water) because they are shallow-rooted and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Potatoes,4,9,34,produce,"Potatoes are a root crop that are primarily rainfed (green water), require a significant amount of supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Spinach,4,9,34,produce,"Spinach plants are primarily rainfed (green water), can receive irrigation water (blue water) especially in the US, and can cause a lot of water pollution (grey water) due to heavy use of fertilizer and herbicides use for weed control."
Cranberries,4,8,30,produce,"Cranberry bushes are grown in bogs or wetlands, are primarily rainfed (green water), receive substantial irrigation (blue water) through harvest flooding, and can cause water pollution from the significant application of fertilizer and/or pesticides (grey water)."
Pineapples,4,8,30,produce,Pineapples plants are almost entirely rainfed (green water) with minimal amounts of irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water).
Cabbage,4,8,30,produce,"Cabbage plants (like other brassicas) are primarily rainfed (green water), are somewhat drought-tolerant yet can receive supplemental irrigation (blue water) to improve yield and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Kale,4,8,30,produce,"Kale plants are primarily rainfed (green water), can receive a significant amount of supplemental irrigation (blue water) because they are shallow-rooted and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Kohlrabi,4,8,30,produce,"Kohlrabi plants are primarily rainfed (green water), can receive significant supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Onions,4,8,30,produce,"Onion bulb plants are rainfed (green water), can require a significant amount of supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Melons,4,7,26,produce,"Melon plants are mainly rainfed (green water), can receive some supplemental irrigation (blue water) and can cause water pollution from the application of fertilizer and/or pesticides (grey water)."
Lettuce,4,7,26,produce,"Lettuce plants are rainfed (green water), require a significant amount of supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Tea,8,7,26,other,"Tea plants are primarily rainfed (green water), can receive a significant amount of supplemental irrigation (blue water) and can cause pollution from the use of fertilizer and/or pesticides (grey water). The grey water footprint is primarily associated with processing, packaging and transporting tea."
Carrots,4,6,23,produce,"Carrots are a root crop that are primarily rainfed (green water), require supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Celery,4,6,23,produce,"Celery plants are rainfed (green water), require a significant amount of supplemental irrigation (blue water) because they are shallow-rooted and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
Tomatoes,4,6,23,produce,Tomatoes are produced in both fields and greenhouses which has increased the irrigation requirements. Tomato plants are rainfed (green water) and irrigated (blue water) in about equal amounts and they can cause water pollution from the use of fertilizer and/or pesticides (grey water).
Turnips,4,6,23,produce,"Turnips are cool season root vegetables that are rainfed (green water), can receive a significant amount of supplemental irrigation (blue water) and can cause water pollution from the use of fertilizer and/or pesticides (grey water)."
